vigun.IT97K-499-35.gnm1.contig_339	contig_339
vigun.IT97K-499-35.gnm1.contig_340	contig_340
vigun.IT97K-499-35.gnm1.contig_341	contig_341
vigun.IT97K-499-35.gnm1.contig_342	contig_342
vigun.IT97K-499-35.gnm1.contig_343	contig_343
vigun.IT97K-499-35.gnm1.contig_344	contig_344
vigun.IT97K-499-35.gnm1.contig_345	contig_345
vigun.IT97K-499-35.gnm1.contig_346	contig_346
vigun.IT97K-499-35.gnm1.contig_347	contig_347
vigun.IT97K-499-35.gnm1.contig_348	contig_348
vigun.IT97K-499-35.gnm1.contig_349	contig_349
vigun.IT97K-499-35.gnm1.contig_350	contig_350
vigun.IT97K-499-35.gnm1.contig_351	contig_351
vigun.IT97K-499-35.gnm1.contig_352	contig_352
vigun.IT97K-499-35.gnm1.contig_353	contig_353
vigun.IT97K-499-35.gnm1.contig_354	contig_354
vigun.IT97K-499-35.gnm1.contig_355	contig_355
vigun.IT97K-499-35.gnm1.contig_356	contig_356
vigun.IT97K-499-35.gnm1.contig_357	contig_357
vigun.IT97K-499-35.gnm1.contig_358	contig_358
vigun.IT97K-499-35.gnm1.contig_359	contig_359
vigun.IT97K-499-35.gnm1.contig_360	contig_360
vigun.IT97K-499-35.gnm1.contig_361	contig_361
vigun.IT97K-499-35.gnm1.contig_362	contig_362
vigun.IT97K-499-35.gnm1.contig_363	contig_363
vigun.IT97K-499-35.gnm1.contig_364	contig_364
vigun.IT97K-499-35.gnm1.contig_365	contig_365
vigun.IT97K-499-35.gnm1.contig_366	contig_366
vigun.IT97K-499-35.gnm1.contig_367	contig_367
vigun.IT97K-499-35.gnm1.contig_368	contig_368
vigun.IT97K-499-35.gnm1.contig_369	contig_369
vigun.IT97K-499-35.gnm1.contig_370	contig_370
vigun.IT97K-499-35.gnm1.contig_371	contig_371
vigun.IT97K-499-35.gnm1.contig_372	contig_372
vigun.IT97K-499-35.gnm1.contig_373	contig_373
vigun.IT97K-499-35.gnm1.contig_374	contig_374
vigun.IT97K-499-35.gnm1.contig_375	contig_375
vigun.IT97K-499-35.gnm1.contig_376	contig_376
vigun.IT97K-499-35.gnm1.contig_377	contig_377
vigun.IT97K-499-35.gnm1.contig_378	contig_378
vigun.IT97K-499-35.gnm1.contig_379	contig_379
vigun.IT97K-499-35.gnm1.contig_380	contig_380
vigun.IT97K-499-35.gnm1.contig_381	contig_381
vigun.IT97K-499-35.gnm1.contig_382	contig_382
vigun.IT97K-499-35.gnm1.contig_383	contig_383
vigun.IT97K-499-35.gnm1.contig_384	contig_384
vigun.IT97K-499-35.gnm1.contig_385	contig_385
vigun.IT97K-499-35.gnm1.contig_386	contig_386
vigun.IT97K-499-35.gnm1.contig_387	contig_387
vigun.IT97K-499-35.gnm1.contig_388	contig_388
vigun.IT97K-499-35.gnm1.contig_389	contig_389
vigun.IT97K-499-35.gnm1.contig_390	contig_390
vigun.IT97K-499-35.gnm1.contig_391	contig_391
vigun.IT97K-499-35.gnm1.contig_392	contig_392
vigun.IT97K-499-35.gnm1.contig_393	contig_393
vigun.IT97K-499-35.gnm1.contig_394	contig_394
vigun.IT97K-499-35.gnm1.contig_395	contig_395
vigun.IT97K-499-35.gnm1.contig_396	contig_396
vigun.IT97K-499-35.gnm1.contig_397	contig_397
vigun.IT97K-499-35.gnm1.contig_398	contig_398
vigun.IT97K-499-35.gnm1.contig_399	contig_399
vigun.IT97K-499-35.gnm1.contig_400	contig_400
vigun.IT97K-499-35.gnm1.contig_401	contig_401
vigun.IT97K-499-35.gnm1.contig_403	contig_403
vigun.IT97K-499-35.gnm1.contig_404	contig_404
vigun.IT97K-499-35.gnm1.contig_405	contig_405
vigun.IT97K-499-35.gnm1.contig_406	contig_406
vigun.IT97K-499-35.gnm1.contig_407	contig_407
vigun.IT97K-499-35.gnm1.contig_408	contig_408
vigun.IT97K-499-35.gnm1.contig_409	contig_409
vigun.IT97K-499-35.gnm1.contig_410	contig_410
vigun.IT97K-499-35.gnm1.contig_411	contig_411
